date,Station,O3 ppb,NO ppb,NO2 ppb,NOx ppb,SO2 ppb,PM 10 ug/m3,CO ppm,wind_direction,wind speed,temperature,dewpoint_temperature,sea_level_pressure,station_pressure,relative_humidity
2017-03-23 00:00:00,S1,17.4,15,45,60,2.6,7,8,0,0,9.92,1.6,1012.5,843.2,63
2017-03-23 01:00:00,S1,13.3,19,46,65,2.7,40.4,8,6.666666667,0.333333333,10.34333333,2.133333333,1013.066667,843.4,68
2017-03-23 02:00:00,S1,10.6,20,46,67,2.4,9,9,13.33333333,0.666666667,10.76666667,2.666666667,1013.633333,843.6,73
2017-03-23 03:00:00,S1,10.8,39,43,82,3,33,20,20,1,11.19,3.2,1014.2,843.8,78
2017-03-23 04:00:00,S1,11.9,30,43,73,2.8,29,16,16.66666667,1,9.593333333,3.566666667,1014.4,843.9,80.66666667
2017-03-23 05:00:00,S1,5.7,22,42,63,3.3,36,21,13.33333333,1,7.996666667,3.933333333,1014.6,844,83.33333333
2017-03-23 06:00:00,S1,11.9,10,40,50,2.8,35,13,10,1,6.4,4.3,1014.8,844.1,86
2017-03-23 07:00:00,S1,14.7,6,38,44,2.7,22,15,6.666666667,0.666666667,6.233333333,4.766666667,1014.633333,843.8333333,90
2017-03-23 08:00:00,S1,11.9,6,38,44,2.5,17,11,3.333333333,0.333333333,6.066666667,5.233333333,1014.466667,843.5666667,94
2017-03-23 09:00:00,S1,12.6,7,38,46,2.7,18,18,0,0,5.9,5.7,1014.3,843.3,98
2017-03-23 10:00:00,S1,8.5,7,38,44,2.6,16,10,3.333333333,0.333333333,5.9,5.766666667,1014.066667,843.1,98.66666667
2017-03-23 11:00:00,S1,8.6,6,37,43,2.9,26,6,6.666666667,0.666666667,5.9,5.833333333,1013.833333,842.9,99.33333333
2017-03-23 12:00:00,S1,6.5,7,37,44,2.2,17,5,10,1,5.9,5.9,1013.6,842.7,100
2017-03-23 13:00:00,S1,9.5,11,39,49,2.3,10,5,6.666666667,0.666666667,5.566666667,5.566666667,1013.9,842.7333333,100
2017-03-23 14:00:00,S1,9.2,9,39,47,2.2,15.6,11,3.333333333,0.333333333,5.233333333,5.233333333,1014.2,842.7666667,100
2017-03-23 15:00:00,S1,7.6,16,42,58,2,12.1,7,0,0,4.9,4.9,1014.5,842.8,100
2017-03-23 16:00:00,S1,15.4,15,42,57,2.1,9,4,0,0,5.066666667,5.066666667,1014.633333,842.9333333,100
2017-03-23 17:00:00,S1,14.1,14,42,56,2.1,6,3,0,0,5.233333333,5.233333333,1014.766667,843.0666667,100
2017-03-23 18:00:00,S1,14.3,7,38,45,2.1,5,3,0,0,5.4,5.4,1014.9,843.2,100
2017-03-23 19:00:00,S1,13.2,7,38,45,2.3,6,3,10,0.333333333,5.466666667,5.466666667,1014.533333,842.8666667,100
2017-03-23 20:00:00,S1,9,17,40,57,2.3,5,3,20,0.666666667,5.533333333,5.533333333,1014.166667,842.5333333,100
2017-03-23 21:00:00,S1,6.4,32,43,74,2.1,4,2,30,1,5.6,5.6,1013.8,842.2,100
2017-03-23 22:00:00,S1,5.6,44,44,89,2.1,4,2,20,0.666666667,5.766666667,5.766666667,1013.566667,842.0666667,100
2017-03-23 23:00:00,S1,11.2,63,44,107,2.1,4,3,10,0.333333333,5.933333333,5.933333333,1013.333333,841.9333333,100
2017-03-24 00:00:00,S1,8.3,74,43,117,2.1,18.8,8,0,0,6.1,6.1,1013.1,841.8,100
2017-03-24 01:00:00,S1,8.8,93,41,134,2,15.2,5,0,0,6.133333333,6.133333333,1013.333333,841.9,100
2017-03-24 02:00:00,S1,13.2,105,42,147,2.1,6,3,0,0,6.166666667,6.166666667,1013.566667,842,100
2017-03-24 03:00:00,S1,9.1,119,43,162,2.4,13,3,0,0,6.2,6.2,1013.8,842.1,100
2017-03-24 04:00:00,S1,7.1,128,43,172,2.3,20,4,3.333333333,0.333333333,5.766666667,5.766666667,1014.1,842.2666667,100
2017-03-24 05:00:00,S1,5.9,117,42,159,2.5,17,6,6.666666667,0.666666667,5.333333333,5.333333333,1014.4,842.4333333,100
2017-03-24 06:00:00,S1,6.2,96,46,142,2.2,10,5,10,1,4.9,4.9,1014.7,842.6,100
2017-03-24 07:00:00,S1,8,91,47,138,2.8,28,8,10,1,5.2,5.2,1014.666667,842.6666667,100
2017-03-24 08:00:00,S1,5.2,97,47,143,2.4,18,9,10,1,5.5,5.5,1014.633333,842.7333333,100
2017-03-24 09:00:00,S1,6.3,83,47,131,2.2,15,10,10,1,5.8,5.8,1014.6,842.8,100
2017-03-24 10:00:00,S1,8.9,40,45,85,2.4,11,9,6.666666667,0.666666667,5.9,5.9,1014.3,842.6333333,100
2017-03-24 11:00:00,S1,8.1,17,41,58,2,17,11,3.333333333,0.333333333,6,6,1014,842.4666667,100
2017-03-24 12:00:00,S1,9.9,18,41,59,2,11,12,0,0,6.1,6.1,1013.7,842.3,100
2017-03-24 13:00:00,S1,13.5,23,44,67,2.1,8,7,0,0,6.466666667,6.166666667,1013.933333,842.6,98
